Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,100,0,890.0,827.0005953696091,298.5767920035869,1199.0846659900853,2777.4,1.6892860060257466,0.0,890,980,980,1200,1200,1200,1200,1200,1200,1200,1200
POST,/query,3348,0,1600.0,1442.2720365753685,32.07370899326634,2923.3839590015123,3576.357825567503,56.557295481741996,0.0,1600,1800,1800,1900,2100,2300,2500,2700,2900,2900,2900
GET,/stats,154,0,920.0,961.933168291013,392.0748749951599,1828.1896249973215,79.0,2.60150044927965,0.0,920,1100,1200,1200,1300,1500,1600,1700,1800,1800,1800
,Aggregated,3602,0,1600.0,1404.6542326230183,32.07370899326634,2923.3839590015123,3404.650749583565,60.8480819370474,0.0,1600,1700,1800,1900,2100,2200,2500,2600,2900,2900,2900
