Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,100,0,5300.0,35901.50830123999,406.73529199921177,79302.73445800049,2708.8,0.3346913716238123,0.0,54000,55000,77000,78000,79000,79000,79000,79000,79000,79000,79000
POST,/query,15780,0,400.0,892.0945350908698,6.090666000091005,79991.11170800007,950.1027249683143,52.81429844223758,0.0,400,700,940,1100,1500,1900,2400,3200,80000,80000,80000
GET,/stats,371,0,410.0,1341.8833147007786,3.6492079998424742,78881.55016600012,79.0,1.2417049887243437,0.0,410,590,810,950,1300,2000,2600,53000,79000,79000,79000
,Aggregated,16251,0,400.0,1117.7922160858975,3.6492079998424742,79991.11170800007,941.0380899636946,54.390694802585735,0.0,400,710,950,1100,1500,2000,2900,4600,80000,80000,80000
