Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777395588,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395589,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395590,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395591,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395593,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395594,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395595,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395596,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395597,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395598,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395599,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395600,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395601,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395602,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395603,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395604,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395605,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395606,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395607,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395608,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395609,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395610,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395611,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395612,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395613,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395614,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395615,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395616,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395617,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395618,100,,Aggregated,4.200000,0.000000,3300,4000,4300,4300,5300,5300,5300,5300,5300,5300,5300,65,0,3300.0,3047.189288492308,26.49737499996263,5317.04287499997,9964.292307692307
1777395620,100,,Aggregated,0.000000,0.000000,3300,4000,4300,4300,5300,5300,5300,52000,52000,52000,52000,66,0,3300.0,3790.5389842575814,26.49737499996263,52108.269209000355,9814.060606060606
1777395621,100,,Aggregated,0.000000,0.000000,4300,5300,54000,54000,55000,55000,55000,55000,55000,55000,55000,96,0,4300.0,19581.391700968732,26.49737499996263,55074.986499999795,15346.145833333334
1777395622,100,,Aggregated,0.000000,0.000000,4300,5300,54000,54000,55000,55000,55000,55000,55000,55000,55000,96,0,4300.0,19581.391700968732,26.49737499996263,55074.986499999795,15346.145833333334
1777395623,100,,Aggregated,0.000000,0.000000,4300,5300,54000,54000,55000,55000,55000,55000,55000,55000,55000,96,0,4300.0,19581.391700968732,26.49737499996263,55074.986499999795,15346.145833333334
1777395624,100,,Aggregated,0.000000,0.000000,4300,5300,54000,54000,55000,55000,55000,55000,55000,55000,55000,96,0,4300.0,19581.391700968732,26.49737499996263,55074.986499999795,15346.145833333334
1777395625,100,,Aggregated,0.000000,0.000000,4300,5300,54000,54000,55000,55000,55000,55000,55000,55000,55000,96,0,4300.0,19581.391700968732,26.49737499996263,55074.986499999795,15346.145833333334
1777395626,100,,Aggregated,0.000000,0.000000,4300,5300,54000,54000,55000,55000,55000,55000,55000,55000,55000,96,0,4300.0,19581.391700968732,26.49737499996263,55074.986499999795,15346.145833333334
1777395627,100,,Aggregated,0.000000,0.000000,4300,5300,54000,54000,55000,55000,55000,55000,55000,55000,55000,96,0,4300.0,19581.391700968732,26.49737499996263,55074.986499999795,15346.145833333334
1777395628,100,,Aggregated,0.000000,0.000000,4300,5300,54000,54000,55000,55000,55000,55000,55000,55000,55000,96,0,4300.0,19581.391700968732,26.49737499996263,55074.986499999795,15346.145833333334
1777395629,100,,Aggregated,0.000000,0.000000,4300,5300,54000,54000,55000,55000,55000,55000,55000,55000,55000,96,0,4300.0,19581.391700968732,26.49737499996263,55074.986499999795,15346.145833333334
